"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Apr 12 19:16:30 UTC 2026","Sun Apr 12 19:16:30 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","tc06_addNewTask_happyPath","TC-06: Verify a new task can be added and appears immediately in the task board","Steps:
 1. Record the current total task count from the stats strip
 2. Fill in task title, assignee, and priority
 3. Click 'Add Task'
 4. Verify success message is shown and contains the task title
 5. Verify the task board now shows the new task
 6. Verify the total task count in the stats strip incremented by 1
"
"skipped","Sun Apr 12 19:16:31 UTC 2026","Sun Apr 12 19:16:31 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","tc09_toggleTaskComplete_updatesStats","TC-09: Verify toggling a task to complete updates the stats strip correctly","Steps:
 1. Note initial in-progress and completed counts
 2. Add a new task (defaults to in-progress)
 3. Toggle the new task's checkbox to mark it complete
 4. Verify completed count increased by 1
 5. Verify in-progress count returned to original value
 6. Toggle the checkbox again (mark incomplete)
 7. Verify counts revert
"
"skipped","Sun Apr 12 19:16:31 UTC 2026","Sun Apr 12 19:16:31 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","tc08_clearForm_resetsFields","TC-08: Verify the Clear button resets all form inputs to their default state","Steps:
 1. Type into title, assignee, and description fields
 2. Select a priority option
 3. Click 'Clear'
 4. Verify title field is empty
 5. Verify no message banner is visible
"
"broken","Sun Apr 12 19:16:33 UTC 2026","Sun Apr 12 19:16:33 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowHeaderAndStatsTest","com.qa.tests.TaskFlowHeaderAndStatsTest","setUp","setUp",""
"skipped","Sun Apr 12 19:16:32 UTC 2026","Sun Apr 12 19:16:32 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowHeaderAndStatsTest","com.qa.tests.TaskFlowHeaderAndStatsTest","tc01_verifyPageTitle","TC-01: Verify the browser tab title contains the expected application name","Navigates to the application URL and verifies:
 1. Page loads without errors
 2. Browser title contains 'TaskFlow Pro'
"
"broken","Sun Apr 12 19:16:33 UTC 2026","Sun Apr 12 19:16:33 UTC 2026","0","Surefire suite","Surefire test","com.example.tests.SampleTests","com.example.tests.SampleTests","setUp","setUp",""
"skipped","Sun Apr 12 19:16:29 UTC 2026","Sun Apr 12 19:16:29 UTC 2026","1","Surefire suite","Surefire test","com.qa.tests.TaskFlowActivityFeedTest","com.qa.tests.TaskFlowActivityFeedTest","tc12_activityFeed_showsPreSeededItems","TC-12: Verify the activity feed renders with at least 3 pre-seeded activity entries","Steps:
 1. Scroll to the activity feed section
 2. Verify the section container is visible
 3. Verify there are at least 3 activity items (matching seeded data)
 4. Verify the first item's text is non-empty
"
"skipped","Sun Apr 12 19:16:30 UTC 2026","Sun Apr 12 19:16:30 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowAddTaskTest","com.qa.tests.TaskFlowAddTaskTest","tc07_addTask_emptyTitle_showsValidationError","TC-07: Verify that submitting the form with an empty title shows a validation error","Steps:
 1. Leave task title blank
 2. Fill in other fields (assignee, priority)
 3. Click 'Add Task'
 4. Verify an error message is displayed (not a success message)
 5. Verify the task board count has NOT changed
"
"skipped","Sun Apr 12 19:16:33 UTC 2026","Sun Apr 12 19:16:33 UTC 2026","0","Surefire suite","Surefire test","com.example.tests.SampleTests","com.example.tests.SampleTests","testPageTitleAndList","testPageTitleAndList",""
"broken","Sun Apr 12 19:16:33 UTC 2026","Sun Apr 12 19:16:33 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowHeaderAndStatsTest","com.qa.tests.TaskFlowHeaderAndStatsTest","openApplication","openApplication",""
"broken","Sun Apr 12 19:16:29 UTC 2026","Sun Apr 12 19:16:29 UTC 2026","0","Surefire suite","Surefire test","com.qa.tests.TaskFlowActivityFeedTest","com.qa.tests.TaskFlowActivityFeedTest","openApplication","openApplication",""
